,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax Expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
2010,3690452000,3604958000,85494000,0.0232,,34558000,,34558000,,34558000,3639516000,324000.0,99668000,89890000,180085000,0.0488,50936000,0.0138,-60409000,-9473000,-0.0026,-12415000,2942000,0.0008,0.03,0.03,97335641,97335641,7225000,236000,7461000,410000000,197483000,43251000,658195000,629755000,496416000,152339000,648755000,29953000,2146000,12450000,1323059000,,1981254000,294624000,43500000.0,2462000,54701000,103945000,496770000,718874000,,171582000,49220000,939676000,,720000.0,1436446000,,664724000,-126735000,-6767000,13586000,544808000,1981254000,,1981254000,2942000,89890000,,4629000,-13378000,,-79094000,,-2320000,48351000,132434000,-51727000,-232223000.0,,,985000,-281200000,-279814000,,,,408721000,128907000,821000,-19038000,7225000,26263000,80707000,1.0027
2011,5072031000,4917905000,154126000,0.0304,,38726000,,38726000,,38726000,4956631000,606000.0,69038000,100517000,75550000,0.0149,115400000,0.0228,-209405000,-94005000,-0.0185,-31400000,-62605000,-0.0123,-0.88,-0.88,79676340,88745334,64810000,314000,65124000,446124000,179959000,24404000,715611000,789091000,513747000,129915000,643662000,26039000,8968000,21004000,1488764000,,2204375000,319023000,6611000.0,2549000,8021000,149954000,483609000,650737000,,142385000,74423000,867545000,,30059000.0,1351154000,,1082990000,-247505000,-3504000,21240000,853221000,2204375000,,2204375000,-62605000,100517000,,7775000,-14910000,,17971000,,-46927000,176540000,207317000,-139265000,-5802000.0,,,56643000,-83880000,-1045449000,488436000.0,,-26208000.0,516368000,-66853000,1001000,57585000,64810000,7225000,68052000,0.9807
2012,4913029000,4707720000,205309000,0.0418,,40469000,,40469000,,40469000,4748189000,645000.0,43655000,126611000,318579000,0.0648,164840000,0.0336,-16527000,148313000,0.0302,32127000,116186000,0.0236,1.13,1.1,102812328,105512697,61026000,549000,61575000,483387000,151458000,24441000,720861000,1038784000,709358000,234438000,943796000,78130000,9060000,5894000,2075664000,,2796525000,356388000,38304000.0,5253000,1499000,145478000,541669000,600939000,,206116000,140967000,948022000,,1262000.0,1489691000,,1543149000,-238446000,-9166000,11297000,1306834000,2796525000,,2796525000,116186000,126611000,,3856000,6799000,,36727000,,20640000,55447000,308899000,-174379000,-465785000.0,,,-1383000,-636045000,-768576000,423461000.0,,-98204000.0,766146000,322827000,535000,-3784000,61026000,64810000,134520000,1.0067
2013,6940669000,6666257000,274412000,0.0395,,47372000,,47372000,,47372000,6713629000,471000.0,53458000,184057000,378236000,0.0545,227040000,0.0327,-86319000,140721000,0.0203,36905000,103816000,0.015,0.86,0.84,121376222,123084409,97182000,765000,97947000,598119000,156419000,27435000,879920000,1119856000,726148000,202395000,928543000,93236000,8187000,19640000,2169462000,,3049382000,437724000,,22515000,2847000,181595000,622166000,757911000,,194105000,106566000,1058582000,,345000.0,1680748000,,1585145000,-266520000,33879000,16130000,1368634000,3049382000,,3049382000,103816000,184057000,,8271000,-90043000,,-3700000,,-34501000,125530000,331631000,-235514000,,,,-5231000,-232250000,-835291000,37389000.0,,-131309000.0,862539000,-66672000,3447000,36156000,97182000,61026000,96117000,0.9413
2014,8573529000,8299403000,274126000,0.032,,56245000,,56245000,,56245000,8355648000,832000.0,67598000,209925000,405052000,0.0472,217881000,0.0254,-90352000,127529000,0.0149,35588000,91941000,0.0107,0.74,0.73,123591547,125596190,131911000,908000,132819000,633783000,154937000,43966000,965505000,1494569000,783721000,191537000,975258000,94387000,3532000,39778000,2607524000,,3573029000,445670000,,3279000,19042000,173261000,637973000,1165368000,,191351000,151157000,1507876000,,,2145849000,,1634001000,-323673000,93011000,23841000,1427180000,3573029000,,3573029000,91941000,209925000,,13977000,-105291000,,10252000,,-60225000,125676000,336228000,-373805000,-128440000.0,,,-11893000,-495015000,-464057000,36648000.0,,-144832000.0,760440000,188199000,5317000,34729000,131911000,97182000,-37577000,0.8604
2015,5591982000,5461519000,130463000,0.0233,,71702000,,71702000,-4770000.0,66932000,5528451000,558000.0,79580000,282992000,75228000,0.0135,63531000,0.0114,-350875000,-287344000,-0.0514,-6688000,-280656000,-0.0502,-2.23,-2.23,125652815,125652815,82775000,1045000,83820000,377985000,107593000,26582000,595980000,1771117000,670907000,145433000,816340000,93389000,1596000,4564000,2687006000,,3282986000,322347000,35000000.0,10939000,7690000,144523000,509560000,1291423000,,145684000,169318000,1606425000,,,2115985000,,1672323000,-765147000,224866000,34959000,1167001000,3282986000,,3282986000,-280656000,282992000,,20379000,74293000,,52000000,,-55545000,361059000,458067000,-339375000,-39772000.0,,,-4209000,-372628000,-128668000,28956000.0,,-157985000.0,115835000,-141862000,7287000,-49136000,82775000,131911000,118692000,0.7224
2016,4594181000,4569374000,24807000,0.0054,,69818000,,69818000,,69818000,4639192000,1093000.0,86619000,244408000,114863000,0.025,-45011000,-0.0098,-189606000,-234617000,-0.0511,-56450000,-159714000,-0.0348,-1.18,-1.19,135202472,135202472,60159000,2325000,62484000,430087000,144595000,290553000,927719000,1643294000,454489000,66086000,520575000,118244000,47165000,4350000,2333628000,,3261347000,376767000,,4403000,9833000,178606000,565206000,1359151000,,102350000,177544000,1639045000,,,2204251000,,1909032000,-1107075000,201089000,54050000,1057096000,3261347000,,3261347000,-159714000,244408000,,24876000,-47126000,,-42350000,,-11661000,145122000,207566000,-254580000,,,,-2201000,-243193000,-481789000,230090000.0,,-175586000.0,444841000,17556000,-1038000,-22616000,60159000,82775000,-47014000,0.7443
2017,6100839000,6013889000,86950000,0.0143,,85144000,,85144000,,85144000,6099033000,1785000.0,79147000,229727000,286841000,0.047,1806000,0.0003,-183689000,-181883000,-0.0298,-66168000,44135000,0.0072,0.31,0.29,142500793,142500793,32138000,1828000,33966000,499971000,169957000,24433000,728327000,1619688000,381965000,33849000,415814000,118020000,75221000,7364000,2236107000,,2964434000,413745000,,3122000,7013000,134174000,554932000,1208038000,,100823000,190039000,1498900000,,,2053832000,,1932103000,-1251416000,174186000,55729000,910602000,2964434000,,2964434000,44135000,229727000,-66168000.0,22056000,-43117000,,-27019000,,-2771000,10746000,197379000,-175966000,,,,2082000,-167336000,-1810239000,,,-187985000.0,1520291000,-477933000,-3287000,-28021000,32138000,60159000,21413000,0.7948
2018,6846589000,6543958000,302631000,0.0442,,69013000,,69013000,-3395000.0,65618000,6609576000,1492000.0,75581000,197214000,479456000,0.07,237013000,0.0346,-100275000,136738000,0.02,55613000,151048000,0.0221,1.05,1.02,143970969,146477560,95301000,1156000,96457000,278133000,85629000,226739000,686958000,1523391000,362348000,41996000,404344000,154206000,35874000,4803000,2122618000,,2809576000,246799000,36200000.0,67923000,15451000,291211000,589661000,1204915000,,77640000,179130000,1461685000,,109071000.0,2051346000,,1955146000,-1290050000,41650000,51484000,758230000,2809576000,,2809576000,151048000,197214000,55613000.0,19124000,50222000,,53101000,,8442000,90517000,563738000,-228491000,-41656000.0,,,51594000,-214502000,-134449000,,,-189880000.0,-70924000,-395253000,1403000,63163000,95301000,32138000,335247000,0.7332
2019,7336322000,7002402000,333920000,0.0455,,64580000,,64580000,2813000.0,67393000,7069795000,1758000.0,74241000,175094000,452809000,0.0617,266527000,0.0363,-69615000,196912000,0.0268,20573000,182901000,0.0249,1.25,1.23,145266245,147639526,47231000,7476000,54707000,432850000,137168000,60255000,684980000,1654247000,360647000,33597000,394244000,201593000,38869000,2757000,2291710000,,2976690000,369256000,36308000.0,848000,66147000,117453000,589164000,1339336000,,84409000,203171000,1626916000,,131808000.0,2216080000,,1973827000,-1299150000,32594000,53339000,760610000,2976690000,,2976690000,182901000,175094000,20573000.0,14562000,-2169000,,-52008000,,50682000,-22341000,368620000,-271421000,-60843000.0,,,48666000,-278128000,-442664000,,,-191633000.0,431320000,-202977000,-3320000,-48070000,47231000,95301000,97199000,0.77
2020,4938066000,4631926000,306140000,0.062,,65853000,,65853000,-6811000.0,59042000,4690968000,217000.0,64804000,169422000,384904000,0.0779,247098000,0.05,-96420000,150678000,0.0305,29369000,121309000,0.0246,0.83,0.82,146120871,148737524,53676000,8454000,62130000,330362000,163113000,29431000,585036000,1732844000,360122000,35781000,395903000,315022000,36820000,1535000,2482124000,,3067160000,339293000,31208000.0,2506000,45357000,115416000,531274000,1521015000,,91598000,243623000,1856236000,,102742000.0,2387510000,,1977104000,-1383340000,24066000,61820000,679650000,3067160000,,3067160000,121309000,169422000,29369000.0,21144000,27286000,,-26361000,,-21007000,91021000,459551000,-215098000,-120705000.0,,,-183249000,-303954000,-764956000,,-18562000.0,-197246000.0,831365000,-149399000,247000,6445000,53676000,47231000,244453000,0.7851
2021,7211148000,6906737000,304411000,0.0422,,68812000,,68812000,-6982000.0,61830000,6968567000,,61344000,173861000,416442000,0.0577,242581000,0.0336,-61344000,181237000,0.0251,36184000,145053000,0.0201,0.99,0.97,146344843,149125558,62688000,8883000,71571000,667921000,255131000,11816000,1006439000,1665218000,359875000,34355000,394230000,336402000,27406000,2065000,2425321000,,3431760000,630329000,29748000.0,1652000,31733000,104698000,796508000,1712640000,,94155000,184331000,1991126000,,81779000.0,2787634000,,1997255000,-1443441000,24310000,66002000,644126000,3431760000,,3431760000,145053000,173861000,36184000.0,23335000,-183103000,,-92113000,,-13579000,21476000,216806000,-117672000,-29210000.0,,,19822000,-127060000,-37022000,,,-203329000.0,157396000,-82955000,2221000,9012000,62688000,53676000,99134000,0.7913
